[INFO] [launch]: All log files can be found below /home/ruthhhs/.ros/log/2025-12-07-19-30-02-543678-ruthhhs-HP-Laptop-15-dy2xxx-3328
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [soccer_vision_node-1]: process started with pid [3341]
[soccer_vision_node-1] [INFO] [1765111593.268055664] [soccer_vision]: Soccer vision alive | dummy=True | balls=14503 | field_lines=20 | goal_posts=14502
[soccer_vision_node-1] [INFO] [1765111608.266876052] [soccer_vision]: Soccer vision alive | dummy=True | balls=14750 | field_lines=20 | goal_posts=14749
[soccer_vision_node-1] [INFO] [1765111623.263316850] [soccer_vision]: Soccer vision alive | dummy=True | balls=14993 | field_lines=20 | goal_posts=14992
[soccer_vision_node-1] [INFO] [1765111638.285106063] [soccer_vision]: Soccer vision alive | dummy=True | balls=15236 | field_lines=20 | goal_posts=15235
[soccer_vision_node-1] [INFO] [1765111653.302504590] [soccer_vision]: Soccer vision alive | dummy=True | balls=15469 | field_lines=20 | goal_posts=15468
[soccer_vision_node-1] [INFO] [1765111668.280281947] [soccer_vision]: Soccer vision alive | dummy=True | balls=15703 | field_lines=20 | goal_posts=15702
[soccer_vision_node-1] [INFO] [1765111683.310142144] [soccer_vision]: Soccer vision alive | dummy=True | balls=15935 | field_lines=20 | goal_posts=15934
[soccer_vision_node-1] [INFO] [1765111698.297717996] [soccer_vision]: Soccer vision alive | dummy=True | balls=16175 | field_lines=20 | goal_posts=16174
[soccer_vision_node-1] [INFO] [1765111713.280300890] [soccer_vision]: Soccer vision alive | dummy=True | balls=16405 | field_lines=20 | goal_posts=16404
[soccer_vision_node-1] [INFO] [1765111728.285582617] [soccer_vision]: Soccer vision alive | dummy=True | balls=16663 | field_lines=20 | goal_posts=16662
[soccer_vision_node-1] [INFO] [1765111743.290405448] [soccer_vision]: Soccer vision alive | dummy=True | balls=16898 | field_lines=20 | goal_posts=16897
[soccer_vision_node-1] [INFO] [1765111758.291711621] [soccer_vision]: Soccer vision alive | dummy=True | balls=17133 | field_lines=20 | goal_posts=17132
[soccer_vision_node-1] [INFO] [1765111773.264659222] [soccer_vision]: Soccer vision alive | dummy=True | balls=17369 | field_lines=20 | goal_posts=17368
[soccer_vision_node-1] [INFO] [1765111788.262934845] [soccer_vision]: Soccer vision alive | dummy=True | balls=17611 | field_lines=20 | goal_posts=17610
[soccer_vision_node-1] [INFO] [1765111803.290296968] [soccer_vision]: Soccer vision alive | dummy=True | balls=17852 | field_lines=20 | goal_posts=17851
[soccer_vision_node-1] [INFO] [1765111818.271716181] [soccer_vision]: Soccer vision alive | dummy=True | balls=18076 | field_lines=20 | goal_posts=18075
[soccer_vision_node-1] [INFO] [1765111833.263108897] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765111848.263002753] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765111863.262965393] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765111878.262965821] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765111893.262965220] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765111908.262971337] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765111923.262956191] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765111938.262827433] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765111953.262969051] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765111968.262937352] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765111983.262995518] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765111998.262975943] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112013.262918563] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112028.262968172] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112043.262961965] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112058.262962996] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112073.262982637] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112088.265622906] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112103.262968702] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112118.262906798] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112133.262919588] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112148.262961617] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112163.262935008] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112178.262971243] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112193.262958941] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112208.262948873] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
